external_account_id,masked_account_number,bank_id,country_code,counterparty_name,counterparty_type,available_identifier_type,available_identifier_value,risk_score,first_seen_at,last_seen_at,metadata_source,data_visibility
EXT-ACC-000019,****1009,BANK-TCB-EXT,VN,HUYNH VIET UY,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-05T23:58:47Z,2025-12-28T12:14:52Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000020,****1949,BANK-ACB-EXT,VN,DO THAO PHONG,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-05T22:08:38Z,2025-12-28T09:06:57Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000021,****2403,BANK-VPB-EXT,VN,EXTERNAL DEMO COMPANY 0030,COMPANY,REGISTRATION_NUMBER,EXT-REG-000030,0.197,2025-10-06T13:54:41Z,2025-12-29T03:41:29Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000022,****9727,BANK-VCB-EXT,VN,EXTERNAL DEMO COMPANY 0031,COMPANY,REGISTRATION_NUMBER,EXT-REG-000031,0.178,2025-10-04T05:51:39Z,2025-12-30T17:26:11Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000023,****9645,BANK-TCB-EXT,VN,DOAN LAN QUANG,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-04T13:57:38Z,2025-12-31T00:30:37Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000024,****9835,BANK-ACB-EXT,VN,EXTERNAL DEMO COMPANY 0033,COMPANY,REGISTRATION_NUMBER,EXT-REG-000033,0.095,2025-10-05T16:41:24Z,2025-12-28T04:28:19Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000025,****9479,BANK-TCB-EXT,VN,HO BAO MY,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-06T06:08:08Z,2025-12-28T19:19:17Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000026,****4770,BANK-TCB-EXT,VN,BUI BINH HIEU,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-06T16:14:00Z,2025-12-29T05:38:07Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000027,****1514,BANK-VCB-EXT,VN,TRAN NGA EM,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-06T08:20:58Z,2025-12-28T21:38:36Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000028,****9834,BANK-VCB-EXT,VN,VO QUYNH NAM,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-03T03:20:51Z,2025-12-29T13:18:11Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000029,****4119,BANK-VPB-EXT,VN,VU PHUONG HOA,INDIVIDUAL,NAME_ONLY,,0.197,2025-10-03T12:12:12Z,2025-12-29T23:59:41Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000030,****1887,BANK-FOREIGN-DE-DEMO,DE,NGO HOA OANH,INDIVIDUAL,NAME_ONLY,,0.216,2025-10-03T19:10:09Z,2025-12-31T07:15:36Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000031,****4139,BANK-VCB-EXT,VN,BUI HAI PHONG,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-04T22:03:38Z,2025-12-31T09:15:29Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000032,****5092,BANK-ACB-EXT,VN,HUYNH SON OANH,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-05T06:45:15Z,2025-12-31T17:05:16Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000033,****9856,BANK-VCB-EXT,VN,DOAN HAI DUNG,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-03T07:53:00Z,2025-12-29T18:58:22Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000034,****4872,BANK-VCB-EXT,VN,EXTERNAL DEMO COMPANY 0043,COMPANY,REGISTRATION_NUMBER,EXT-REG-000043,0.178,2025-10-04T11:31:51Z,2025-12-30T22:08:03Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000035,****7209,BANK-ACB-EXT,VN,HO DUNG LAN,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-05T23:49:04Z,2025-12-28T11:48:56Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000036,****8973,BANK-FOREIGN-JP-DEMO,JP,DUONG TAM KHOA,INDIVIDUAL,NAME_ONLY,,0.277,2025-10-06T15:35:07Z,2025-12-28T20:20:51Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000037,****1998,BANK-MBB-EXT,VN,TRAN HIEU VIET,INDIVIDUAL,NAME_ONLY,,0.105,2025-10-04T06:56:27Z,2025-12-30T18:56:54Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000038,****3579,BANK-VCB-EXT,VN,LY TRANG UY,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-06T10:17:37Z,2025-12-28T23:19:03Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000039,****2113,BANK-FOREIGN-KR-DEMO,KR,HUYNH EM KIET,INDIVIDUAL,NAME_ONLY,,0.159,2025-10-03T09:30:12Z,2025-12-31T01:12:44Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000040,****1651,BANK-TCB-EXT,VN,MAI PHONG HIEU,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-03T16:18:26Z,2025-12-30T04:02:41Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000041,****5272,BANK-ACB-EXT,VN,MAI UY TUAN,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-06T06:47:01Z,2025-12-28T19:38:44Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000042,****8491,BANK-MBB-EXT,VN,HO HUNG THAO,INDIVIDUAL,NAME_ONLY,,0.105,2025-10-03T00:19:25Z,2025-12-29T09:05:28Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000043,****2200,BANK-VCB-EXT,VN,CAO DAO HAI,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-03T22:37:30Z,2025-12-30T10:37:57Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000044,****7054,BANK-VPB-EXT,VN,DO EM PHONG,INDIVIDUAL,NAME_ONLY,,0.197,2025-10-06T11:41:51Z,2025-12-29T00:46:31Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000045,****5956,BANK-ACB-EXT,VN,EXTERNAL DEMO COMPANY 0054,COMPANY,REGISTRATION_NUMBER,EXT-REG-000054,0.095,2025-10-06T10:40:17Z,2025-12-28T23:44:58Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000046,****3200,BANK-VPB-EXT,VN,DOAN THAO HAI,INDIVIDUAL,NAME_ONLY,,0.197,2025-10-05T07:07:56Z,2025-12-31T17:34:25Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000047,****3546,BANK-VCB-EXT,VN,EXTERNAL DEMO COMPANY 0056,COMPANY,REGISTRATION_NUMBER,EXT-REG-000056,0.178,2025-10-06T07:35:37Z,2025-12-28T20:27:20Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000048,****9280,BANK-VPB-EXT,VN,BUI NAM QUANG,INDIVIDUAL,NAME_ONLY,,0.197,2025-10-05T12:22:12Z,2025-12-28T00:18:50Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000049,****1058,BANK-VCB-EXT,VN,NGO SON CHI,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-05T23:06:57Z,2025-12-28T10:40:54Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000050,****8007,BANK-TCB-EXT,VN,VO LAN MY,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-05T17:42:57Z,2025-12-28T05:52:33Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000051,****7049,BANK-VCB-EXT,VN,HOANG VIET CHI,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-03T23:26:06Z,2025-12-30T11:07:07Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000052,****1653,BANK-TCB-EXT,VN,TRAN THAO BAO,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-03T20:44:06Z,2025-12-30T08:41:19Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000053,****7658,BANK-TCB-EXT,VN,PHAM YEN XUAN,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-06T08:24:13Z,2025-12-28T21:41:51Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000054,****4878,BANK-TCB-EXT,VN,EXTERNAL DEMO COMPANY 0063,COMPANY,REGISTRATION_NUMBER,EXT-REG-000063,0.055,2025-10-03T02:58:10Z,2025-12-29T12:42:33Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000055,****1406,BANK-TCB-EXT,VN,EXTERNAL DEMO COMPANY 0064,COMPANY,REGISTRATION_NUMBER,EXT-REG-000064,0.055,2025-10-03T20:34:23Z,2025-12-30T08:31:36Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000056,****7745,BANK-MBB-EXT,VN,EXTERNAL DEMO COMPANY 0065,COMPANY,REGISTRATION_NUMBER,EXT-REG-000065,0.105,2025-10-03T14:38:00Z,2025-12-30T02:25:29Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000057,****8711,BANK-TCB-EXT,VN,PHAM CUONG CHI,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-04T04:37:08Z,2025-12-30T15:58:42Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000058,****4164,BANK-ACB-EXT,VN,VU NGA BINH,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-03T05:53:08Z,2025-12-29T16:29:20Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000059,****5573,BANK-MBB-EXT,VN,EXTERNAL DEMO COMPANY 0068,COMPANY,REGISTRATION_NUMBER,EXT-REG-000068,0.105,2025-10-04T02:37:15Z,2025-12-30T14:44:11Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000060,****2889,BANK-VPB-EXT,VN,DOAN VAN BINH,INDIVIDUAL,NAME_ONLY,,0.197,2025-10-04T00:27:39Z,2025-12-30T12:24:52Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000061,****8119,BANK-MBB-EXT,VN,VO CHI HAI,INDIVIDUAL,NAME_ONLY,,0.105,2025-10-04T19:24:52Z,2025-12-31T06:17:17Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000062,****4114,BANK-MBB-EXT,VN,TRINH HANH CUONG,INDIVIDUAL,NAME_ONLY,,0.105,2025-10-06T00:40:54Z,2025-12-28T12:47:16Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000063,****8066,BANK-ACB-EXT,VN,DOAN MINH BAO,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-05T05:46:56Z,2025-12-31T16:13:26Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000064,****6143,BANK-FOREIGN-DE-DEMO,DE,EXTERNAL DEMO COMPANY 0073,COMPANY,REGISTRATION_NUMBER,EXT-REG-000073,0.216,2025-10-03T11:17:07Z,2025-12-31T02:27:15Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000065,****7691,BANK-VCB-EXT,VN,DANG TRANG THAO,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-03T04:22:25Z,2025-12-29T14:35:56Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000066,****3851,BANK-MBB-EXT,VN,PHAN HOA CUONG,INDIVIDUAL,NAME_ONLY,,0.105,2025-10-05T03:21:08Z,2025-12-31T14:29:45Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000067,****4443,BANK-MBB-EXT,VN,NGUYEN THAO TAM,INDIVIDUAL,NAME_ONLY,,0.105,2025-10-04T05:58:08Z,2025-12-30T17:29:25Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000068,****8244,BANK-VPB-EXT,VN,BUI OANH MY,INDIVIDUAL,NAME_ONLY,,0.197,2025-10-05T17:46:12Z,2025-12-28T05:55:47Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000069,****9445,BANK-VPB-EXT,VN,HUYNH GIANG TAM,INDIVIDUAL,NAME_ONLY,,0.197,2025-10-05T11:33:36Z,2025-12-31T23:04:54Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000070,****4262,BANK-VPB-EXT,VN,VU THAO NGA,INDIVIDUAL,NAME_ONLY,,0.197,2025-10-03T11:30:05Z,2025-12-29T23:04:37Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000071,****8461,BANK-VCB-EXT,VN,LY NHI EM,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-05T22:05:23Z,2025-12-28T09:03:42Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000072,****4997,BANK-VPB-EXT,VN,HO QUYNH DIEP,INDIVIDUAL,NAME_ONLY,,0.197,2025-10-04T09:31:58Z,2025-12-30T20:37:20Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000073,****2746,BANK-VCB-EXT,VN,EXTERNAL DEMO COMPANY 0082,COMPANY,REGISTRATION_NUMBER,EXT-REG-000082,0.178,2025-10-06T16:39:55Z,2025-12-29T06:20:14Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000074,****5082,BANK-TCB-EXT,VN,TRINH OANH DUNG,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-05T05:21:01Z,2025-12-31T16:03:42Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000075,****6198,BANK-VCB-EXT,VN,DUONG UY XUAN,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-03T09:56:07Z,2025-12-29T20:48:32Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000076,****8305,BANK-ACB-EXT,VN,TRINH KHOA XUAN,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-06T01:52:11Z,2025-12-28T14:43:54Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000077,****8939,BANK-ACB-EXT,VN,VU SON UY,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-05T13:10:48Z,2025-12-28T01:17:09Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000078,****6502,BANK-MBB-EXT,VN,DANG PHONG SON,INDIVIDUAL,NAME_ONLY,,0.105,2025-10-03T03:01:25Z,2025-12-29T12:45:47Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000079,****3503,BANK-VPB-EXT,VN,HOANG NGA CUONG,INDIVIDUAL,NAME_ONLY,,0.197,2025-10-06T04:14:44Z,2025-12-28T17:06:27Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000080,****7812,BANK-VCB-EXT,VN,BUI VIET OANH,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-04T16:00:45Z,2025-12-31T02:33:44Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000081,****7232,BANK-FOREIGN-JP-DEMO,JP,MAI BINH DAO,INDIVIDUAL,NAME_ONLY,,0.277,2025-10-05T01:56:54Z,2025-12-27T15:37:13Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000082,****9947,BANK-MBB-EXT,VN,HO HOA VIET,INDIVIDUAL,NAME_ONLY,,0.105,2025-10-05T03:27:37Z,2025-12-31T14:36:14Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000083,****1475,BANK-TCB-EXT,VN,VO KHOA QUYNH,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-04T21:18:16Z,2025-12-31T08:33:21Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000084,****8657,BANK-ACB-EXT,VN,EXTERNAL DEMO COMPANY 0093,COMPANY,REGISTRATION_NUMBER,EXT-REG-000093,0.095,2025-10-06T08:14:30Z,2025-12-28T21:32:08Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000085,****1444,BANK-VPB-EXT,VN,HO HIEU DAO,INDIVIDUAL,NAME_ONLY,,0.197,2025-10-03T02:22:32Z,2025-12-29T11:37:45Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000086,****5262,BANK-FOREIGN-JP-DEMO,JP,DUONG LINH DUNG,INDIVIDUAL,NAME_ONLY,,0.277,2025-10-03T20:50:35Z,2025-12-31T07:41:31Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000087,****7906,BANK-TCB-EXT,VN,BUI CUONG SON,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-03T06:38:29Z,2025-12-29T17:24:25Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000088,****4673,BANK-VCB-EXT,VN,DOAN DUNG YEN,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-05T14:02:39Z,2025-12-28T01:59:17Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000089,****5051,BANK-VCB-EXT,VN,EXTERNAL DEMO COMPANY 0098,COMPANY,REGISTRATION_NUMBER,EXT-REG-000098,0.178,2025-10-03T07:07:39Z,2025-12-29T18:03:18Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000090,****2874,BANK-VCB-EXT,VN,VU HUNG PHUONG,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-06T03:09:57Z,2025-12-28T15:48:42Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000091,****2876,BANK-TCB-EXT,VN,VO BAO LAN,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-04T01:29:13Z,2025-12-30T13:32:54Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000092,****2771,BANK-TCB-EXT,VN,EXTERNAL DEMO COMPANY 0101,COMPANY,REGISTRATION_NUMBER,EXT-REG-000101,0.055,2025-10-03T21:29:28Z,2025-12-30T09:39:38Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000093,****2245,BANK-MBB-EXT,VN,HO DIEP MINH,INDIVIDUAL,NAME_ONLY,,0.105,2025-10-06T14:27:05Z,2025-12-29T04:04:09Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000094,****1672,BANK-TCB-EXT,VN,DANG KIET HANH,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-05T00:00:16Z,2025-12-31T11:12:07Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000095,****1207,BANK-ACB-EXT,VN,LE TRANG VAN,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-04T00:11:28Z,2025-12-30T12:11:55Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000096,****8135,BANK-ACB-EXT,VN,DO OANH KHANH,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-05T16:54:21Z,2025-12-28T05:10:26Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000097,****5425,BANK-VPB-EXT,VN,EXTERNAL DEMO COMPANY 0106,COMPANY,REGISTRATION_NUMBER,EXT-REG-000106,0.197,2025-10-03T09:33:26Z,2025-12-29T20:25:51Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000098,****8616,BANK-VPB-EXT,VN,EXTERNAL DEMO COMPANY 0107,COMPANY,REGISTRATION_NUMBER,EXT-REG-000107,0.197,2025-10-05T02:42:16Z,2025-12-31T13:28:11Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000099,****8385,BANK-VPB-EXT,VN,VU GIANG SON,INDIVIDUAL,NAME_ONLY,,0.197,2025-10-04T01:58:23Z,2025-12-30T14:05:18Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000100,****9098,BANK-ACB-EXT,VN,HO VAN BINH,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-06T11:06:13Z,2025-12-29T00:23:51Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000101,****5581,BANK-TCB-EXT,VN,DO QUANG VAN,INDIVIDUAL,NAME_ONLY,,0.055,2025-10-04T02:11:20Z,2025-12-30T14:15:02Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000102,****4954,BANK-MBB-EXT,VN,TRINH MINH GIANG,INDIVIDUAL,NAME_ONLY,,0.105,2025-10-04T15:31:36Z,2025-12-31T02:11:03Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000103,****8342,BANK-ACB-EXT,VN,VU PHUONG QUYNH,INDIVIDUAL,NAME_ONLY,,0.095,2025-10-06T16:20:29Z,2025-12-29T05:44:36Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
EXT-ACC-000104,****7046,BANK-VCB-EXT,VN,HO PHONG THAO,INDIVIDUAL,NAME_ONLY,,0.178,2025-10-06T02:44:01Z,2025-12-28T15:26:01Z,PAYMENT_MESSAGE,PAYMENT_MESSAGE_ONLY
