customer_id,full_name,date_of_birth,nationality,national_id,phone,email,address_id,occupation,annual_income,customer_risk_level,created_at
CUST-000015,Vu Nga Binh,1997-06-09,VN,958443472984,+84996098221,vu8347@example-sandbox.test,ADDR-000015,Marketing Specialist,313924794,HIGH,2024-08-03T23:59:59Z
CUST-000016,Bui Khoa Kiet,1948-04-09,VN,968878784464,+84910226999,bui8519@fictitious-mail.dev,ADDR-000016,Retired,137388337,LOW,2023-07-07T23:59:59Z
CUST-000017,Ngo Tuan Diep,2002-04-14,US,935352356774,+84992613013,ngo9325@example-sandbox.test,ADDR-000017,Student,32542139,LOW,2022-07-25T23:59:59Z
CUST-000018,Le Tam Trang,1997-06-03,VN,951544341056,+84940150759,le3263@mail-demo.invalid,ADDR-000018,Software Engineer,452463113,LOW,2022-02-14T23:59:59Z
CUST-000019,Ngo Nga Linh,1999-01-18,VN,970650773366,+84927896471,ngo7613@fictitious-mail.dev,ADDR-000019,Retail Manager,369403322,HIGH,2022-10-08T23:59:59Z
CUST-000020,Vo Uy Quynh,1995-08-03,VN,945366880628,+84955076693,vo5239@fictitious-mail.dev,ADDR-000020,Teacher,267423381,LOW,2024-05-01T23:59:59Z
CUST-000021,Ho Hieu Binh,2003-08-01,SG,969424002163,+84982238741,ho8948@fictitious-mail.dev,ADDR-000021,Nurse,324215510,LOW,2022-06-11T23:59:59Z
CUST-000022,Ngo Hung Oanh,1966-07-11,VN,954902591705,+84955298556,ngo6212@example-sandbox.test,ADDR-000022,Factory Worker,239670356,HIGH,2025-05-23T23:59:59Z
CUST-000023,Vu Minh Binh,1949-08-22,VN,971065692731,+84944392446,vu6044@mail-demo.invalid,ADDR-000023,Retired,76941092,LOW,2024-05-02T23:59:59Z
CUST-000024,Vu Hai Thao,1999-01-12,KR,920181524415,+84977908907,vu5591@mail-demo.invalid,ADDR-000024,Student,61979090,MEDIUM,2021-03-17T23:59:59Z
CUST-000025,Ngo Hieu Son,1975-02-09,JP,989305318997,+84991917334,ngo6210@example-sandbox.test,ADDR-000025,Software Engineer,251799213,LOW,2020-11-23T23:59:59Z
CUST-000026,Vu Hoa Quynh,1952-11-23,JP,918663993845,+84949491631,vu3631@example-sandbox.test,ADDR-000026,Retired,123900135,LOW,2021-10-19T23:59:59Z
CUST-000027,Vu Hanh Minh,1999-12-06,VN,946439355458,+84989133014,vu8596@fictitious-mail.dev,ADDR-000027,Student,59961221,LOW,2021-07-04T23:59:59Z
CUST-000028,Ly Hai An,1991-08-15,SG,944580399705,+84974119726,ly1870@mail-demo.invalid,ADDR-000028,Freelancer,372005564,LOW,2024-01-29T23:59:59Z
CUST-000029,Duong Thao Hieu,1982-10-02,AU,939045734699,+84993955206,duong3458@example-sandbox.test,ADDR-000029,Marketing Specialist,425280620,LOW,2023-12-17T23:59:59Z
CUST-000030,Duong Em Nga,2001-09-08,VN,948261335833,+84929090631,duong1170@mail-demo.invalid,ADDR-000030,Student,31702507,LOW,2023-04-16T23:59:59Z
CUST-000031,Tran Khoa Tuan,1953-04-22,AU,947887715751,+84987342561,tran660@mail-demo.invalid,ADDR-000031,Retired,72257687,LOW,2025-07-12T23:59:59Z
CUST-000032,Pham Lan Van,1960-07-27,KR,970287155135,+84921819185,pham5154@example-sandbox.test,ADDR-000032,Retired,148930456,LOW,2024-01-21T23:59:59Z
CUST-000033,Doan Hung Tam,1983-02-01,AU,943497797428,+84931257157,doan5092@fictitious-mail.dev,ADDR-000033,Software Engineer,380227665,LOW,2020-09-25T23:59:59Z
CUST-000034,Vu Oanh Xuan,1964-10-17,VN,922300902025,+84947077298,vu6799@example-sandbox.test,ADDR-000034,Factory Worker,222333162,LOW,2023-07-10T23:59:59Z
CUST-000035,Bui Minh Phong,1991-07-02,SG,977622993713,+84961167978,bui6326@fictitious-mail.dev,ADDR-000035,Factory Worker,245392880,MEDIUM,2023-07-11T23:59:59Z
CUST-000036,Hoang Hoa Khanh,1960-06-20,US,921380961778,+84954099326,hoang8743@example-sandbox.test,ADDR-000036,Retired,95570755,HIGH,2021-04-16T23:59:59Z
CUST-000037,Huynh Thao Binh,1955-05-12,SG,929029654855,+84942775624,huynh8703@example-sandbox.test,ADDR-000037,Retired,67532195,LOW,2021-03-17T23:59:59Z
CUST-000038,Vo Oanh Quang,1997-05-22,KR,919268434739,+84969287967,vo5662@fictitious-mail.dev,ADDR-000038,Sales Associate,369780938,LOW,2025-08-14T23:59:59Z
CUST-000039,Nguyen Diep Son,1955-10-24,JP,952532781603,+84940885967,nguyen9947@example-sandbox.test,ADDR-000039,Nurse,146330428,LOW,2022-07-01T23:59:59Z
CUST-000040,Ngo Linh Minh,1963-06-17,KR,948283135050,+84932084778,ngo4211@example-sandbox.test,ADDR-000040,Factory Worker,409592333,LOW,2021-04-06T23:59:59Z
CUST-000041,Vo Viet Hanh,1984-12-22,VN,964050274042,+84995704631,vo6087@mail-demo.invalid,ADDR-000041,Marketing Specialist,461221985,LOW,2023-08-10T23:59:59Z
CUST-000042,Tran Thao Quynh,1962-09-05,US,959193025350,+84999991136,tran8851@example-sandbox.test,ADDR-000042,Driver,246057305,MEDIUM,2025-02-15T23:59:59Z
CUST-000043,Do Hai Bao,1989-06-02,US,936954705563,+84926395999,do7451@mail-demo.invalid,ADDR-000043,Marketing Specialist,466188756,LOW,2020-08-13T23:59:59Z
CUST-000044,Nguyen Son Khanh,1963-03-04,VN,910566090561,+84958082464,nguyen3899@fictitious-mail.dev,ADDR-000044,Student,254568947,LOW,2022-08-23T23:59:59Z
CUST-000045,Tran Uy Thao,1984-01-16,US,974888201959,+84969533928,tran1205@mail-demo.invalid,ADDR-000045,Student,136723872,LOW,2022-01-24T23:59:59Z
CUST-000046,Pham Xuan Nam,1982-07-11,JP,967547107945,+84922762205,pham5121@example-sandbox.test,ADDR-000046,Student,242671554,LOW,2023-02-21T23:59:59Z
CUST-000047,Doan Xuan Van,1997-06-28,US,917391899333,+84948604965,doan9838@example-sandbox.test,ADDR-000047,Student,340551207,LOW,2024-12-26T23:59:59Z
CUST-000048,Vo Binh Linh,1972-06-12,VN,987924671792,+84998227303,vo6567@mail-demo.invalid,ADDR-000048,Accountant,285884888,MEDIUM,2021-09-24T23:59:59Z
CUST-000049,Hoang Lan Nhi,1958-05-15,US,993690279775,+84969330166,hoang6786@example-sandbox.test,ADDR-000049,Nurse,163798748,MEDIUM,2021-11-22T23:59:59Z
CUST-000050,Phan Thao Nam,2004-05-11,VN,974457709134,+84967801537,phan2879@mail-demo.invalid,ADDR-000050,Freelancer,257180991,LOW,2024-11-25T23:59:59Z
CUST-000051,Ho Hoa Tam,1962-06-06,AU,920144080073,+84968614462,ho1735@mail-demo.invalid,ADDR-000051,Freelancer,131197277,LOW,2023-05-27T23:59:59Z
CUST-000052,Do Khanh Phong,1961-04-06,AU,999159880563,+84920113745,do2903@fictitious-mail.dev,ADDR-000052,Retired,257421893,LOW,2024-11-07T23:59:59Z
CUST-000053,Trinh Em Thao,1984-01-12,VN,996228903058,+84922119391,trinh9734@fictitious-mail.dev,ADDR-000053,Freelancer,140190238,LOW,2023-02-20T23:59:59Z
CUST-000054,Trinh Linh Chi,1970-08-17,KR,934093930775,+84958841557,trinh6109@example-sandbox.test,ADDR-000054,Freelancer,355019682,LOW,2021-09-14T23:59:59Z
CUST-000055,Le Hieu Khanh,2002-11-13,VN,922618623378,+84951551377,le9158@example-sandbox.test,ADDR-000055,Student,70874196,LOW,2021-12-29T23:59:59Z
CUST-000056,Phan Van Quynh,1967-03-03,VN,979153873002,+84982446804,phan8627@mail-demo.invalid,ADDR-000056,Marketing Specialist,193854839,LOW,2024-05-27T23:59:59Z
CUST-000057,Vu Viet Phong,1974-08-27,VN,991377304419,+84969135982,vu7565@example-sandbox.test,ADDR-000057,Factory Worker,521105567,LOW,2021-02-19T23:59:59Z
CUST-000058,Pham Tam Giang,2003-08-17,VN,969403893323,+84922309586,pham3638@example-sandbox.test,ADDR-000058,Student,266453713,MEDIUM,2024-10-09T23:59:59Z
CUST-000059,Hoang Chi Tam,1985-12-16,JP,912642900640,+84920633503,hoang312@example-sandbox.test,ADDR-000059,Nurse,194513758,MEDIUM,2021-10-08T23:59:59Z
CUST-000060,Cao Viet Binh,2006-12-05,VN,911843567009,+84992518345,cao5781@mail-demo.invalid,ADDR-000060,Student,40236193,LOW,2022-06-13T23:59:59Z
CUST-000061,Ho Bao Quang,2002-02-12,VN,925583245000,+84988101741,ho5448@mail-demo.invalid,ADDR-000061,Software Engineer,291713312,LOW,2025-07-31T23:59:59Z
CUST-000062,Phan Chi Minh,1957-09-13,KR,946392974880,+84914915156,phan3132@example-sandbox.test,ADDR-000062,Student,286470722,MEDIUM,2023-11-26T23:59:59Z
CUST-000063,Do Uy Son,1960-02-14,AU,983789498727,+84949428661,do5263@mail-demo.invalid,ADDR-000063,Teacher,327901521,LOW,2021-08-05T23:59:59Z
CUST-000064,Tran Em Diep,1978-01-05,AU,916176905249,+84926942307,tran1102@mail-demo.invalid,ADDR-000064,Factory Worker,205892217,LOW,2022-10-18T23:59:59Z
CUST-000065,Bui Son Phong,1962-08-17,US,986938079221,+84925805613,bui4289@example-sandbox.test,ADDR-000065,Civil Servant,219883784,LOW,2025-07-11T23:59:59Z
CUST-000066,Doan Tam Thao,1965-12-21,VN,960653540259,+84978284040,doan3674@mail-demo.invalid,ADDR-000066,Nurse,480944156,MEDIUM,2021-09-06T23:59:59Z
CUST-000067,Ly Uy Hoa,1958-02-05,SG,921348757832,+84970394554,ly7633@fictitious-mail.dev,ADDR-000067,Retired,137161840,LOW,2021-01-20T23:59:59Z
CUST-000068,Bui Nga Yen,1988-02-09,VN,946725584250,+84926800072,bui4962@fictitious-mail.dev,ADDR-000068,Retail Manager,272497274,LOW,2020-08-27T23:59:59Z
CUST-000069,Phan Dao Hoa,1998-09-10,VN,942139003272,+84964504816,phan4874@example-sandbox.test,ADDR-000069,Student,66088264,LOW,2022-11-18T23:59:59Z
CUST-000070,Trinh Xuan Hai,1975-02-09,JP,928244672686,+84922993840,trinh830@example-sandbox.test,ADDR-000070,Freelancer,370435553,MEDIUM,2024-04-25T23:59:59Z
CUST-000071,Dang Quynh Binh,1960-09-15,VN,988233449574,+84957364777,dang798@mail-demo.invalid,ADDR-000071,Sales Associate,311120291,MEDIUM,2020-05-16T23:59:59Z
CUST-000072,Tran Dao Xuan,1967-05-03,US,972295303164,+84983800569,tran4583@fictitious-mail.dev,ADDR-000072,Marketing Specialist,417009298,LOW,2023-08-22T23:59:59Z
CUST-000073,Tran Hung Van,1985-03-20,KR,953550027739,+84992284610,tran5219@mail-demo.invalid,ADDR-000073,Freelancer,345343866,HIGH,2022-10-05T23:59:59Z
CUST-000074,Mai Thao Binh,1993-11-26,AU,942545691911,+84916892773,mai9561@example-sandbox.test,ADDR-000074,Accountant,262555565,LOW,2023-01-05T23:59:59Z
CUST-000075,Trinh Nhi Phuong,2002-12-05,KR,983904969872,+84953627409,trinh7838@fictitious-mail.dev,ADDR-000075,Freelancer,153437011,LOW,2021-08-05T23:59:59Z
CUST-000076,Doan Thao Nga,1974-12-07,JP,975786189069,+84956815569,doan9184@fictitious-mail.dev,ADDR-000076,Sales Associate,255157915,LOW,2021-05-07T23:59:59Z
CUST-000077,Phan Minh Viet,1972-12-09,VN,992073503222,+84988763056,phan3921@mail-demo.invalid,ADDR-000077,Software Engineer,421731126,LOW,2020-06-10T23:59:59Z
CUST-000078,Phan Tam Tuan,1973-02-21,AU,984011822189,+84915006085,phan2869@example-sandbox.test,ADDR-000078,Consultant,151762671,LOW,2022-01-19T23:59:59Z
CUST-000079,Trinh Oanh Son,1999-12-15,VN,934561192159,+84911890348,trinh5524@example-sandbox.test,ADDR-000079,Student,34904805,LOW,2023-10-26T23:59:59Z
CUST-000080,Vu An Quang,1979-05-11,VN,912460489491,+84945105069,vu5891@fictitious-mail.dev,ADDR-000080,Nurse,359839307,LOW,2024-05-08T23:59:59Z
CUST-000081,Hoang Phuong Khanh,2003-09-16,KR,939315743866,+84943214247,hoang9762@mail-demo.invalid,ADDR-000081,Student,71106444,LOW,2023-05-05T23:59:59Z
CUST-000082,Duong Hanh Nam,2000-02-17,JP,917768273351,+84970858653,duong2162@fictitious-mail.dev,ADDR-000082,Freelancer,382437519,LOW,2022-05-27T23:59:59Z
CUST-000083,Le Viet Dung,1959-01-10,US,999031620477,+84966420024,le6136@example-sandbox.test,ADDR-000083,Retired,373441297,MEDIUM,2020-06-08T23:59:59Z
CUST-000084,Hoang Nga An,2003-08-22,KR,984836060049,+84960905625,hoang3763@mail-demo.invalid,ADDR-000084,Retired,260182411,LOW,2025-07-18T23:59:59Z
CUST-000085,Cao Chi My,1993-04-24,VN,971857258656,+84941452485,cao8844@mail-demo.invalid,ADDR-000085,Factory Worker,146132901,MEDIUM,2021-11-26T23:59:59Z
CUST-000086,Trinh Nga Hoa,1974-09-19,VN,984849256567,+84976521096,trinh769@example-sandbox.test,ADDR-000086,Marketing Specialist,132726382,MEDIUM,2024-02-17T23:59:59Z
CUST-000087,Doan Hoa Hoa,1990-07-08,VN,953822997577,+84996799390,doan1296@example-sandbox.test,ADDR-000087,Consultant,191990496,LOW,2022-09-13T23:59:59Z
CUST-000088,Dang An Nam,1967-02-24,JP,943992266540,+84991121400,dang3351@example-sandbox.test,ADDR-000088,Nurse,498076470,MEDIUM,2020-04-11T23:59:59Z
CUST-000089,Phan Bao Tuan,1981-04-24,VN,944429402313,+84984264220,phan9569@fictitious-mail.dev,ADDR-000089,Civil Servant,422003162,LOW,2025-06-01T23:59:59Z
CUST-000090,Huynh Yen Lan,2006-09-21,VN,916545291437,+84919976458,huynh795@mail-demo.invalid,ADDR-000090,Student,36351236,LOW,2022-12-07T23:59:59Z
CUST-000091,Doan Xuan Hoa,1955-12-09,KR,952852947496,+84912300840,doan8229@fictitious-mail.dev,ADDR-000091,Marketing Specialist,404228932,LOW,2025-07-30T23:59:59Z
CUST-000092,Ho Oanh Dao,1970-05-22,VN,999585369121,+84914252622,ho1532@example-sandbox.test,ADDR-000092,Freelancer,241256191,LOW,2021-10-06T23:59:59Z
CUST-000093,Phan Dao Phuong,1972-11-09,KR,931616148575,+84952209421,phan257@mail-demo.invalid,ADDR-000093,Driver,159915310,LOW,2025-05-30T23:59:59Z
CUST-000094,Pham Khoa Nga,1959-10-20,US,911401777036,+84995110541,pham4479@example-sandbox.test,ADDR-000094,Retired,444897493,LOW,2023-10-06T23:59:59Z
CUST-000095,Ho Khanh Cuong,1975-02-01,VN,959154766265,+84946207439,ho1675@mail-demo.invalid,ADDR-000095,Teacher,177204091,LOW,2023-08-26T23:59:59Z
CUST-000096,Le Xuan Phong,1991-11-13,VN,944956051895,+84950417154,le4398@example-sandbox.test,ADDR-000096,Accountant,191044139,LOW,2022-10-01T23:59:59Z
CUST-000097,Dang An Diep,1976-07-26,SG,954840416004,+84967796330,dang9739@mail-demo.invalid,ADDR-000097,Sales Associate,452963145,LOW,2020-12-14T23:59:59Z
CUST-000098,Ho Bao Hanh,1991-09-06,KR,973252899770,+84938138531,ho7184@example-sandbox.test,ADDR-000098,Consultant,417949465,MEDIUM,2024-07-20T23:59:59Z
CUST-000099,Ho Viet Trang,1999-01-26,SG,986503232964,+84989701163,ho1393@mail-demo.invalid,ADDR-000099,Factory Worker,391867297,LOW,2023-04-30T23:59:59Z
CUST-000100,Vo Nga Trang,2002-10-23,AU,971078866233,+84960213478,vo6409@example-sandbox.test,ADDR-000100,Factory Worker,419570433,LOW,2022-10-06T23:59:59Z
CUST-000101,Phan Uy Phuong,1977-08-24,JP,919959640362,+84950300763,phan733@fictitious-mail.dev,ADDR-000101,Teacher,172410967,LOW,2023-01-01T23:59:59Z
CUST-000102,Huynh Linh Khoa,1980-04-15,AU,963384522963,+84910597274,huynh3520@mail-demo.invalid,ADDR-000102,Sales Associate,449696150,MEDIUM,2025-07-05T23:59:59Z
CUST-000103,Ho Nhi Diep,1992-06-28,JP,934126388993,+84949922369,ho9670@mail-demo.invalid,ADDR-000103,Marketing Specialist,306790619,LOW,2025-01-12T23:59:59Z
CUST-000104,Doan Linh Xuan,1965-03-06,SG,973745841107,+84993135800,doan879@example-sandbox.test,ADDR-000104,Software Engineer,275066991,LOW,2022-12-05T23:59:59Z
CUST-000105,Nguyen Nga Tam,1957-09-10,VN,973482795754,+84985920319,nguyen8116@fictitious-mail.dev,ADDR-000105,Retail Manager,240711891,LOW,2024-02-18T23:59:59Z
CUST-000106,Vu Thao Chi,1983-02-15,VN,936787479345,+84988909809,vu5745@fictitious-mail.dev,ADDR-000106,Driver,307140837,LOW,2024-03-13T23:59:59Z
CUST-000107,Mai Son Trang,1998-03-25,US,918241048890,+84947221734,mai2079@fictitious-mail.dev,ADDR-000107,Consultant,171123621,LOW,2021-02-06T23:59:59Z
CUST-000108,Le Diep Trang,2002-08-16,SG,912499480048,+84922501261,le7512@fictitious-mail.dev,ADDR-000108,Student,48767947,LOW,2021-10-11T23:59:59Z
CUST-000109,Ly Van Dung,1957-08-01,VN,970808076187,+84971272827,ly12@example-sandbox.test,ADDR-000109,Nurse,456177570,HIGH,2025-02-11T23:59:59Z
CUST-000110,Dang Nga Khoa,1996-01-07,JP,927514613470,+84989682313,dang3706@fictitious-mail.dev,ADDR-000110,Marketing Specialist,171101349,LOW,2025-02-28T23:59:59Z
CUST-000111,Dang Hung Cuong,2004-11-22,VN,979013302351,+84985603667,dang139@fictitious-mail.dev,ADDR-000111,Marketing Specialist,191482336,LOW,2021-02-10T23:59:59Z
CUST-000112,Ngo Tuan Hung,1970-02-08,KR,994185649922,+84991549765,ngo4669@fictitious-mail.dev,ADDR-000112,Software Engineer,466078035,MEDIUM,2024-02-13T23:59:59Z
CUST-000113,Ly Kiet Em,1988-06-11,VN,990912774236,+84966487347,ly5987@fictitious-mail.dev,ADDR-000113,Marketing Specialist,126478426,LOW,2020-09-08T23:59:59Z
CUST-000114,Ho Giang Viet,1964-02-10,VN,930650460829,+84981993070,ho5354@example-sandbox.test,ADDR-000114,Retired,97241089,LOW,2024-10-25T23:59:59Z
CUST-000115,Huynh Hanh An,1949-03-16,SG,980965767653,+84944795538,huynh2736@example-sandbox.test,ADDR-000115,Retired,61523452,LOW,2021-09-27T23:59:59Z
CUST-000116,Do Dung Quynh,1991-03-09,VN,991150264956,+84925479814,do3743@fictitious-mail.dev,ADDR-000116,Retail Manager,317400874,LOW,2024-09-26T23:59:59Z
CUST-000117,Ngo Tuan Son,1963-09-22,VN,940835049208,+84979226031,ngo753@example-sandbox.test,ADDR-000117,Retired,76025721,LOW,2023-08-01T23:59:59Z
CUST-000118,Vu Oanh Bao,1992-12-18,VN,910646677686,+84965034115,vu392@mail-demo.invalid,ADDR-000118,Retail Manager,224916615,LOW,2022-11-27T23:59:59Z
CUST-000119,Le Chi Nga,1958-08-24,VN,925379292754,+84977837366,le2188@fictitious-mail.dev,ADDR-000119,Retired,109995026,MEDIUM,2021-09-28T23:59:59Z
CUST-000120,Vu Em Minh,1963-10-04,VN,931928633067,+84970339827,vu7636@example-sandbox.test,ADDR-000120,Freelancer,513469316,LOW,2021-04-19T23:59:59Z
CUST-000121,Le Phong Yen,1980-11-10,VN,910746756255,+84964276605,le7409@fictitious-mail.dev,ADDR-000121,Civil Servant,126280162,MEDIUM,2022-10-17T23:59:59Z
CUST-000122,Nguyen Em Minh,1996-02-28,SG,914821219602,+84971873691,nguyen830@mail-demo.invalid,ADDR-000122,Driver,189144436,LOW,2023-03-09T23:59:59Z
CUST-000123,Cao Nhi Nhi,1965-07-18,JP,918851837696,+84947550897,cao6276@mail-demo.invalid,ADDR-000123,Retired,126960098,LOW,2024-01-07T23:59:59Z
CUST-000124,Nguyen Tuan Kiet,1969-01-26,JP,959518534637,+84988381665,nguyen3814@mail-demo.invalid,ADDR-000124,Teacher,270824577,LOW,2025-07-04T23:59:59Z
CUST-000125,Mai Tuan Yen,1945-06-19,AU,987919736018,+84935264294,mai8065@fictitious-mail.dev,ADDR-000125,Retired,154027679,LOW,2021-09-23T23:59:59Z
CUST-000126,Bui Dung Binh,1964-02-28,KR,960941187483,+84919735027,bui6121@fictitious-mail.dev,ADDR-000126,Marketing Specialist,196049195,LOW,2022-05-20T23:59:59Z
CUST-000127,Mai Linh Cuong,1954-12-01,AU,991454844787,+84914346338,mai2984@fictitious-mail.dev,ADDR-000127,Retired,83851602,LOW,2024-12-16T23:59:59Z
CUST-000128,Vo Nam Phong,1947-02-24,VN,961746399307,+84968816911,vo6876@mail-demo.invalid,ADDR-000128,Retired,94448045,MEDIUM,2023-09-16T23:59:59Z
CUST-000129,Dang Binh Tuan,1999-03-13,VN,921733786613,+84983423305,dang1526@example-sandbox.test,ADDR-000129,Student,46938360,LOW,2025-04-04T23:59:59Z
CUST-000130,Doan Viet Quang,1997-04-04,VN,988996913503,+84983774469,doan8044@mail-demo.invalid,ADDR-000130,Software Engineer,279665758,LOW,2024-02-04T23:59:59Z
CUST-000131,Dang Diep Phuong,1986-05-03,KR,933139252778,+84959797531,dang6250@example-sandbox.test,ADDR-000131,Accountant,474893178,LOW,2020-08-27T23:59:59Z
CUST-000132,Vu Xuan Dung,1979-07-18,JP,975436584206,+84950111251,vu1294@example-sandbox.test,ADDR-000132,Consultant,400559223,MEDIUM,2021-01-30T23:59:59Z
CUST-000133,Ngo Minh Khanh,1993-12-26,VN,961913387583,+84984673939,ngo6511@fictitious-mail.dev,ADDR-000133,Student,271664198,HIGH,2024-03-23T23:59:59Z
CUST-000134,Mai Hai Tam,1989-07-09,US,977236801085,+84986775659,mai9978@example-sandbox.test,ADDR-000134,Software Engineer,304613358,LOW,2020-09-26T23:59:59Z
CUST-000135,Bui Thao Thao,1972-12-22,VN,928158938821,+84950329802,bui7260@example-sandbox.test,ADDR-000135,Sales Associate,363936054,MEDIUM,2020-12-11T23:59:59Z
CUST-000136,Dang Trang Diep,1963-09-19,VN,936516000049,+84936941091,dang945@mail-demo.invalid,ADDR-000136,Software Engineer,557035705,MEDIUM,2021-04-18T23:59:59Z
CUST-000137,Duong Linh Phuong,1962-03-27,VN,921548525142,+84948261364,duong450@example-sandbox.test,ADDR-000137,Retired,106204319,LOW,2023-09-17T23:59:59Z
CUST-000138,Nguyen Nga Quang,1993-12-23,VN,971627236742,+84943822694,nguyen3576@example-sandbox.test,ADDR-000138,Sales Associate,283992425,LOW,2021-02-27T23:59:59Z
CUST-000139,Bui Son Tuan,2002-11-10,VN,979363418150,+84942252798,bui931@fictitious-mail.dev,ADDR-000139,Student,71720695,LOW,2021-12-29T23:59:59Z
CUST-000140,Vu Viet Phuong,1997-05-28,VN,986778960479,+84934311643,vu4814@mail-demo.invalid,ADDR-000140,Retired,392362590,LOW,2023-08-30T23:59:59Z
CUST-000141,Mai Tam Oanh,1962-11-19,AU,995660120472,+84919558414,mai7737@mail-demo.invalid,ADDR-000141,Retail Manager,148817595,LOW,2023-01-13T23:59:59Z
CUST-000142,Le Quynh Van,1995-11-02,VN,946301292204,+84938102825,le2763@fictitious-mail.dev,ADDR-000142,Factory Worker,288262897,LOW,2024-09-05T23:59:59Z
CUST-000143,Nguyen Tuan Uy,1967-11-24,VN,961011262744,+84951888314,nguyen2113@mail-demo.invalid,ADDR-000143,Freelancer,122213964,LOW,2025-07-28T23:59:59Z
CUST-000144,Ly Yen Minh,1965-01-08,VN,936333328309,+84912941149,ly9662@fictitious-mail.dev,ADDR-000144,Accountant,336569242,LOW,2020-05-10T23:59:59Z
CUST-000145,Ngo My Cuong,2006-12-05,VN,912707166618,+84950415166,ngo6896@fictitious-mail.dev,ADDR-000145,Student,55836199,LOW,2024-04-03T23:59:59Z
CUST-000146,Phan Quang Uy,1967-05-06,VN,976778747505,+84937876214,phan7876@example-sandbox.test,ADDR-000146,Nurse,339986201,LOW,2023-08-31T23:59:59Z
CUST-000147,Dang Quang Oanh,1958-03-28,VN,952315085906,+84958347193,dang5124@example-sandbox.test,ADDR-000147,Civil Servant,536571839,LOW,2025-02-10T23:59:59Z
CUST-000148,Huynh Hanh Diep,1980-05-27,US,997710704655,+84932384662,huynh1853@mail-demo.invalid,ADDR-000148,Civil Servant,365102343,MEDIUM,2020-04-11T23:59:59Z
CUST-000149,Pham Hoa My,1957-11-11,VN,981631159274,+84987396519,pham9258@mail-demo.invalid,ADDR-000149,Marketing Specialist,260452338,MEDIUM,2025-04-26T23:59:59Z
CUST-000150,Ly Quynh Lan,2005-06-09,VN,942242015979,+84983886264,ly6204@example-sandbox.test,ADDR-000150,Student,40165976,MEDIUM,2023-11-16T23:59:59Z
CUST-000151,Ngo Chi Xuan,1990-10-20,VN,982542473920,+84985475000,ngo3390@fictitious-mail.dev,ADDR-000151,Marketing Specialist,168799175,LOW,2025-09-02T23:59:59Z
CUST-000152,Pham Nga An,1976-11-26,VN,981071789857,+84960182714,pham1742@mail-demo.invalid,ADDR-000152,Accountant,545540518,MEDIUM,2023-09-06T23:59:59Z
CUST-000153,Tran Hieu Hanh,2004-08-22,AU,982826282899,+84928070539,tran8173@mail-demo.invalid,ADDR-000153,Retail Manager,361862815,MEDIUM,2020-09-02T23:59:59Z
